home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Golden Gophers,95.0,287.0,layup,,false,2.0
Bears,Golden Gophers,201.0,528.0,jump shot,,true,3.0
Bears,Golden Gophers,869.0,108.0,jump shot,,true,3.0
Bears,Bulldogs,95.0,279.0,dunk,,false,2.0
Bears,Bulldogs,215.0,243.0,jump shot,,false,2.0
Bears,Bulldogs,212.0,346.0,jump shot,,false,2.0
Bears,Bulldogs,133.0,296.0,jump shot,,false,2.0
Bears,Bulldogs,122.0,264.0,layup,,false,2.0
Bears,Cardinals,134.0,279.0,jump shot,floating,false,2.0
Bears,Cardinals,999.0,226.0,jump shot,fadeaway,false,2.0
Bears,Cardinals,1035.0,328.0,layup,,false,2.0
Bears,Cardinals,82.0,259.0,dunk,alley-oop,false,2.0
Bears,Cardinals,113.0,314.0,layup,putback,false,2.0
Bears,Cardinals,75.0,410.0,jump shot,turnaround,false,2.0
Bears,Rams,88.0,297.0,layup,,false,2.0
Bears,Rams,1038.0,300.0,layup,,false,2.0
Bears,Rams,911.0,46.0,jump shot,,true,3.0
Bears,Rams,88.0,256.0,layup,,false,2.0
Bears,Rams,95.0,290.0,layup,,false,2.0
Bears,Rams,290.0,472.0,jump shot,,true,3.0
Bears,Patriots,1031.0,471.0,jump shot,,false,2.0
Bears,Patriots,1024.0,137.0,jump shot,,false,2.0
Bears,Patriots,993.0,253.0,jump shot,,false,2.0
Bears,Patriots,773.0,293.0,jump shot,,true,3.0
Bears,Patriots,103.0,263.0,layup,,false,2.0
Bears,Patriots,1009.0,224.0,layup,,false,2.0
Bears,Green Wave,1030.0,257.0,layup,,false,2.0
Bears,Green Wave,211.0,281.0,jump shot,,false,2.0
Bears,Green Wave,81.0,305.0,dunk,,false,2.0
Bears,Green Wave,807.0,348.0,jump shot,,true,3.0
Bears,Green Wave,125.0,283.0,layup,,false,2.0
Bears,Green Wave,1035.0,318.0,dunk,,false,2.0
Bears,Green Wave,1010.0,262.0,layup,,false,2.0
Bears,Green Wave,102.0,274.0,layup,,false,2.0
Bears,Green Wave,1024.0,329.0,layup,,false,2.0
Bears,Panthers,328.0,291.0,jump shot,,true,3.0
Bears,Panthers,983.0,277.0,jump shot,,false,2.0
Bears,Panthers,103.0,274.0,dunk,,false,2.0
Bears,Panthers,274.0,104.0,jump shot,,true,3.0
Bears,Bulldogs,77.0,311.0,layup,,false,2.0
Bears,Bulldogs,167.0,310.0,jump shot,,false,2.0
Bears,Bulldogs,78.0,327.0,layup,,false,2.0
Bears,Ramblers,1044.0,331.0,layup,,false,2.0
Bears,Ramblers,81.0,520.0,jump shot,,false,2.0
Bears,Ramblers,1047.0,320.0,layup,,false,2.0
Bears,Ramblers,82.0,274.0,layup,,false,2.0
Bears,Ramblers,78.0,324.0,layup,,false,2.0
Bears,Ramblers,78.0,300.0,dunk,,false,2.0
Bears,Ramblers,322.0,362.0,jump shot,,true,3.0
Bears,Sycamores,164.0,365.0,jump shot,,false,2.0
Bears,Sycamores,171.0,362.0,jump shot,,false,2.0
Bears,Sycamores,175.0,345.0,jump shot,,false,2.0
Bears,Sycamores,1011.0,288.0,layup,,false,2.0
Bears,Sycamores,1061.0,565.0,jump shot,,true,3.0
Bears,Sycamores,1013.0,294.0,dunk,,false,2.0
Bears,Sycamores,982.0,291.0,jump shot,,false,2.0
Bears,Sycamores,955.0,291.0,jump shot,,false,2.0
Bears,Redbirds,182.0,302.0,jump shot,,false,2.0
Bears,Salukis,64.0,317.0,layup,,false,2.0
Bears,Salukis,308.0,444.0,jump shot,,true,3.0
Bears,Salukis,189.0,523.0,jump shot,,true,3.0
Bears,Salukis,160.0,307.0,jump shot,,false,2.0
Bears,Shockers,789.0,403.0,jump shot,,true,3.0
Bears,Shockers,914.0,241.0,jump shot,,false,2.0
Bears,Shockers,161.0,284.0,layup,,false,2.0
Bears,Shockers,824.0,121.0,jump shot,,true,3.0
Bears,Shockers,115.0,270.0,layup,,false,2.0
