team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1048,314,right,781,06:59:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,154,298,left,2205,03:15:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1066,560,right,269,15:31:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,180,551,left,302,14:58:00,Second Round
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,846,204,right,2050,05:50:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,130,211,left,1611,13:09:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1050,561,right,2032,06:08:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1057,379,right,1378,17:02:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,339,269,left,1585,13:35:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,990,442,right,1220,19:40:00,Quarterfinal 3
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1020,160,right,1197,00:03:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1059,334,right,1767,10:33:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,266,492,left,2081,05:19:00,Second Round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,106,301,left,879,05:21:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,driving,2,1024,355,right,132,17:48:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,1002,296,right,193,16:47:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,91,260,left,1275,18:45:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,1028,298,right,1568,13:52:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,954,245,right,2104,04:56:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,796,320,right,952,04:08:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1021,339,right,846,05:54:00,Third Round
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,1051,308,right,1146,00:54:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1088,307,right,827,06:13:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,838,142,right,1010,03:10:00,Quarterfinal 4
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,floating,2,944,303,right,35,19:25:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,195,292,left,940,04:20:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1031,293,right,530,11:10:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1023,22,right,1430,16:10:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,308,424,left,70,18:50:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,driving,2,85,297,left,339,14:21:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1045,211,right,1976,07:04:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,77,208,left,113,18:07:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1068,23,right,2372,00:28:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,992,557,right,34,19:26:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,775,283,right,2293,01:47:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,335,297,left,2122,04:38:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,106,288,left,1466,15:34:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,78,318,left,1611,13:09:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,806,440,right,1069,02:11:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,82,198,left,2009,06:31:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,1016,27,right,450,12:30:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,82,561,left,1529,14:31:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,157,39,left,706,08:14:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1028,242,right,668,08:52:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,168,287,left,1841,09:19:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,796,184,right,2381,00:19:00,Semifinal 2
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,297,135,left,957,04:03:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,872,509,right,449,12:31:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,216,507,left,836,06:04:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,68,34,left,1559,14:01:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,tip shot,NA,2,1050,311,right,2153,04:07:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,1047,328,right,1616,13:04:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,step back,2,866,303,right,614,09:46:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,1037,297,right,927,04:33:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,1058,264,right,1157,00:43:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,driving,NA,1042,338,right,1199,00:01:00,NA
