team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Cavaliers,FALSE,TRUE,fieldgoal,dunk,NA,2,1031,298,right,1418,16:22:00,NA
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,789,255,right,1837,09:23:00,NA
Cavaliers,TRUE,FALSE,fieldgoal,NA,NA,NA,862,469,right,1228,19:32:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,layup,NA,NA,1023,329,right,2312,01:28:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,jump shot,NA,2,167,293,left,1035,02:45:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,NA,NA,NA,85,329,left,1925,07:55:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,NA,NA,233,176,left,1740,11:00:00,First Round
Cavaliers,FALSE,FALSE,fieldgoal,NA,NA,NA,89,324,left,1982,06:58:00,Semifinal 1
Cavaliers,FALSE,TRUE,fieldgoal,layup,NA,2,1007,288,right,2323,01:17:00,NA
Cavaliers,TRUE,TRUE,fieldgoal,jump shot,NA,3,282,458,left,1477,15:23:00,NA
Cavaliers,TRUE,TRUE,fieldgoal,jump shot,NA,3,340,276,left,1151,00:49:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,NA,NA,982,373,right,135,17:45:00,Semifinal 2
Cavaliers,FALSE,TRUE,fieldgoal,jump shot,NA,2,1028,422,right,1808,09:52:00,NA
Cavaliers,TRUE,TRUE,fieldgoal,jump shot,NA,3,1037,554,right,230,16:10:00,Sweet 16
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,281,438,left,269,15:31:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,NA,NA,NA,88,346,left,854,05:46:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,jump shot,floating,2,98,242,left,176,17:04:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,NA,NA,225,149,left,100,18:20:00,Semifinal 1
Cavaliers,FALSE,TRUE,fieldgoal,jump shot,NA,2,185,113,left,912,04:48:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,dunk,putback,2,1035,293,right,1641,12:39:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,driving,NA,1034,272,right,1199,00:01:00,Semifinal 1
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,810,321,right,380,13:40:00,Second Round
Cavaliers,FALSE,FALSE,fieldgoal,layup,NA,NA,67,320,left,678,08:42:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,NA,NA,2,1041,242,right,912,04:48:00,NA
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,332,146,left,2325,01:15:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,layup,NA,2,79,270,left,938,04:22:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,layup,NA,NA,996,372,right,1591,13:29:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,NA,NA,948,317,right,1629,12:51:00,NA
Cavaliers,FALSE,FALSE,fieldgoal,jump shot,NA,NA,990,389,right,2097,05:03:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,layup,NA,2,1041,348,right,142,17:38:00,Second Round
Cavaliers,FALSE,FALSE,fieldgoal,NA,NA,NA,1035,222,right,87,18:33:00,Sweet 16
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,990,37,right,1650,12:30:00,NA
Cavaliers,FALSE,TRUE,fieldgoal,dunk,NA,2,1033,270,right,1344,17:36:00,NA
Cavaliers,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1074,37,right,650,09:10:00,Semifinal 1
