team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Fighting Irish,FALSE,TRUE,fieldgoal,jump shot,pullup,2,907,329,right,2234,02:46:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,941,300,right,1563,13:57:00,NA
Fighting Irish,TRUE,FALSE,fieldgoal,jump shot,NA,NA,872,505,right,1372,17:08:00,Second Round
Fighting Irish,FALSE,FALSE,fieldgoal,layup,NA,NA,882,256,right,2083,05:17:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,NA,NA,NA,94,346,left,1010,03:10:00,NA
Fighting Irish,TRUE,FALSE,fieldgoal,jump shot,NA,NA,865,496,right,602,09:58:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,layup,NA,2,1047,253,right,42,19:18:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,layup,NA,NA,1030,285,right,558,10:42:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,996,311,right,558,10:42:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,NA,NA,2,1019,301,right,790,06:50:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,253,272,left,2319,01:21:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,NA,NA,NA,1033,325,right,140,17:40:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,layup,NA,2,1035,328,right,369,13:51:00,NA
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,321,370,left,90,18:30:00,NA
Fighting Irish,TRUE,FALSE,fieldgoal,jump shot,NA,NA,770,338,right,1264,18:56:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,layup,NA,NA,1050,318,right,2332,01:08:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,jump shot,NA,2,852,303,right,838,06:02:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,856,216,right,573,10:27:00,NA
Fighting Irish,TRUE,FALSE,fieldgoal,jump shot,NA,NA,61,29,left,1990,06:50:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,167,308,left,2315,01:25:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,NA,NA,NA,126,195,left,154,17:26:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,NA,NA,2,64,300,left,2181,03:39:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1059,177,right,141,17:39:00,NA
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,284,84,left,2139,04:21:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,NA,NA,NA,202,386,left,48,19:12:00,NA
Fighting Irish,TRUE,FALSE,fieldgoal,jump shot,NA,NA,85,34,left,1573,13:47:00,NA
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,793,288,right,1138,01:02:00,NA
Fighting Irish,FALSE,FALSE,fieldgoal,jump shot,NA,NA,78,144,left,914,04:46:00,NA
Fighting Irish,FALSE,TRUE,fieldgoal,layup,NA,2,94,296,left,2062,05:38:00,Championship
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,115,36,left,2049,05:51:00,NA
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,971,437,right,363,13:57:00,NA
Fighting Irish,TRUE,TRUE,fieldgoal,jump shot,NA,3,841,137,right,734,07:46:00,NA
