team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,105,279,left,1678,12:02:00,NA
Hokies,FALSE,FALSE,fieldgoal,NA,NA,NA,982,380,right,38,19:22:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,783,214,right,2396,00:04:00,NA
Hokies,FALSE,TRUE,fieldgoal,NA,NA,2,144,226,left,2367,00:33:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,72,325,left,1318,18:02:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,163,548,left,2177,03:43:00,NA
Hokies,FALSE,FALSE,fieldgoal,NA,NA,NA,223,351,left,1797,10:03:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,88,143,left,392,13:28:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,930,49,right,424,12:56:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,322,236,left,2271,02:09:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,900,214,right,1016,03:04:00,Second Round
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,978,308,right,1149,00:51:00,First Round
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,933,290,right,925,04:35:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1075,288,right,1165,00:35:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,driving,2,103,324,left,2135,04:25:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1054,288,right,308,14:52:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,287,481,left,2082,05:18:00,NA
Hokies,FALSE,TRUE,fieldgoal,dunk,NA,2,70,191,left,1805,09:55:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,807,94,right,86,18:34:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,75,263,left,1355,17:25:00,NA
Hokies,FALSE,TRUE,fieldgoal,NA,NA,2,1059,304,right,711,08:09:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,390,267,left,2126,04:34:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,133,568,left,1210,19:50:00,NA
Hokies,FALSE,TRUE,fieldgoal,NA,NA,2,108,256,left,2142,04:18:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,955,294,right,834,06:06:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,74,130,left,1119,01:21:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,141,205,left,1406,16:34:00,NA
Hokies,FALSE,TRUE,fieldgoal,NA,NA,2,1034,294,right,889,05:11:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,60,569,left,2346,00:54:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,1045,26,right,1190,00:10:00,First Round
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,956,291,right,249,15:51:00,First Round
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,67,233,left,1917,08:03:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1031,310,right,103,18:17:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,74,270,left,2017,06:23:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,284,129,left,2083,05:17:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,71,47,left,2071,05:29:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,342,347,left,2189,03:31:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,831,143,right,500,11:40:00,NA
Hokies,FALSE,FALSE,fieldgoal,NA,NA,NA,1011,315,right,897,05:03:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,955,286,right,643,09:17:00,NA
Hokies,FALSE,FALSE,fieldgoal,NA,NA,NA,85,229,left,2274,02:06:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,driving,NA,1003,298,right,1012,03:08:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,933,293,right,630,09:30:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,78,32,left,1464,15:36:00,Second Round
Hokies,FALSE,TRUE,fieldgoal,jump shot,driving,2,81,363,left,2341,00:59:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,70,277,left,1311,18:09:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1066,564,right,1803,09:57:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1040,294,right,963,03:57:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,959,200,right,285,15:15:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,68,339,left,2168,03:52:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,113,163,left,2369,00:31:00,Second Round
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,84,323,left,1560,14:00:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,99,290,left,1654,12:26:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1003,302,right,715,08:05:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1045,276,right,2155,04:05:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1050,291,right,1137,01:03:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,floating,NA,106,366,left,2228,02:52:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,84,331,left,1732,11:08:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,330,404,left,720,08:00:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,120,281,left,631,09:29:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1030,238,right,485,11:55:00,NA
Hokies,FALSE,FALSE,fieldgoal,NA,NA,NA,917,245,right,636,09:24:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,102,294,left,2171,03:49:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,291,170,left,1330,17:50:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,75,274,left,2193,03:27:00,Second Round
Hokies,TRUE,TRUE,fieldgoal,jump shot,pullup,3,340,270,left,2218,03:02:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,146,136,left,1630,12:50:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,218,233,left,550,10:50:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,232,29,left,2218,03:02:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1027,294,right,2396,00:04:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,driving,2,70,324,left,1851,09:09:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1013,341,right,1842,09:18:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,54,554,left,2554,02:26:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,72,277,left,473,12:07:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,189,530,left,254,15:46:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,89,483,left,2045,05:55:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,driving,2,1002,276,right,301,14:59:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,373,249,left,2399,00:01:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,343,358,right,247,15:53:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,299,171,left,2236,02:44:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,350,376,left,2342,00:58:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,putback,2,1034,327,right,233,16:07:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,126,269,left,977,03:43:00,NA
Hokies,FALSE,TRUE,fieldgoal,dunk,NA,2,71,355,left,1737,11:03:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,153,288,left,1670,12:10:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,118,231,left,2066,05:34:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,99,36,left,1244,19:16:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,318,176,left,2348,00:52:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1050,342,right,352,14:08:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1027,321,right,710,08:10:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,332,406,left,2393,00:07:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1034,267,right,580,10:20:00,NA
