team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1011,305,right,2115,04:45:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,278,146,left,388,13:32:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,964,375,right,409,13:11:00,First Round
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,318,432,left,1128,01:12:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,298,410,left,2518,03:02:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1034,324,right,2195,03:25:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,126,365,left,550,10:50:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,1044,277,right,1248,19:12:00,Quarterfinal 1
Seminoles,TRUE,FALSE,fieldgoal,NA,NA,NA,339,318,left,715,08:05:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,928,195,right,65,18:55:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,1006,112,right,1515,14:45:00,NA
Seminoles,TRUE,TRUE,fieldgoal,NA,NA,3,363,109,left,454,12:26:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,854,473,right,98,18:22:00,Second Round
Seminoles,FALSE,TRUE,fieldgoal,layup,finger roll,2,89,322,left,979,03:41:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1010,322,right,1938,07:42:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,784,339,right,1634,12:46:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,89,294,left,1624,12:56:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,143,301,left,1470,15:30:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1021,280,right,1731,11:09:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,1051,379,right,2216,03:04:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,92,290,left,668,08:52:00,Quarterfinal 1
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,132,311,left,216,16:24:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,325,208,left,1194,00:06:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,769,150,right,709,08:11:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,pullup,3,811,163,right,1892,08:28:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,50,297,left,1749,10:51:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,817,404,right,2302,01:38:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,956,464,right,529,11:11:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1045,324,right,85,18:35:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1083,304,right,717,08:03:00,Semifinal 2
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,89,305,left,184,16:56:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,830,455,right,2348,00:52:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,141,270,left,137,17:43:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,95,294,left,936,04:24:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,793,200,right,1886,08:34:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,77,294,left,598,10:02:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,178,328,left,134,17:46:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,918,62,right,1665,12:15:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,72,291,left,984,03:36:00,First Round
Seminoles,TRUE,FALSE,fieldgoal,NA,NA,NA,60,550,left,195,16:45:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,333,176,left,69,18:51:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1045,338,right,1352,17:28:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,846,454,right,2388,00:12:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1040,276,right,1909,08:11:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,88,250,left,611,09:49:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1044,264,right,2027,06:13:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1051,572,right,1683,11:57:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,99,163,left,429,12:51:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,1050,569,right,530,11:10:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,141,303,left,1149,00:51:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,894,366,right,1382,16:58:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,239,284,left,656,09:04:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1003,324,right,612,09:48:00,Quarterfinal 1
Seminoles,TRUE,TRUE,fieldgoal,NA,NA,3,108,26,left,1335,17:45:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1020,281,right,2363,00:37:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,67,32,left,1199,00:01:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,94,204,left,1119,01:21:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,79,23,left,2141,04:19:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,1044,294,right,733,07:47:00,Second Round
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,777,211,right,2015,06:25:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,88,294,left,1925,07:55:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,975,224,right,1362,17:18:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,1028,359,right,1590,13:30:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,288,277,left,1617,13:03:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,215,68,left,2095,05:05:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,99,125,left,382,13:38:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,807,142,right,92,18:28:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,119,311,left,400,13:20:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,96,233,left,900,05:00:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,246,221,left,1192,00:08:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,84,332,left,528,11:12:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,749,315,right,2094,05:06:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1057,564,right,1750,10:50:00,Second Round
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,140,253,left,930,04:30:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,84,274,left,2133,04:27:00,NA
Seminoles,FALSE,FALSE,fieldgoal,dunk,alley-oop,NA,77,304,left,1062,02:18:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,156,266,left,1145,00:55:00,Second Round
Seminoles,TRUE,TRUE,fieldgoal,NA,NA,3,318,133,left,1741,10:59:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1013,321,right,1480,15:20:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,335,279,left,1666,12:14:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,96,401,left,352,14:08:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,88,317,left,223,16:17:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,120,294,left,114,18:06:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1038,301,right,1454,15:46:00,NA
Seminoles,TRUE,TRUE,fieldgoal,NA,NA,3,927,541,right,1328,17:52:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1047,321,right,1903,08:17:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,244,500,left,660,09:00:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,243,506,left,578,10:22:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,1041,334,right,611,09:49:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,347,219,left,91,18:29:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,961,156,right,2028,06:12:00,NA
