team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,132,313,left,1292,18:28:00,First Round
Tar Heels,TRUE,FALSE,fieldgoal,NA,NA,NA,228,87,left,1858,09:02:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,928,346,right,476,12:04:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,1013,27,right,1036,02:44:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,776,65,right,1199,00:01:00,Sweet 16
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,995,280,right,875,05:25:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,NA,NA,NA,976,126,right,554,10:46:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,818,427,right,2319,01:21:00,Semifinal 2
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1033,276,right,1277,18:43:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,250,301,left,2366,00:34:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,85,119,left,1269,18:51:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,838,99,right,1663,12:17:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,87,224,left,1367,17:13:00,Second Round
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1028,301,right,149,17:31:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,758,232,right,1867,08:53:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,tip shot,NA,2,1051,318,right,242,15:58:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,1028,310,right,460,12:20:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,893,67,right,805,06:35:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,1006,214,right,193,16:47:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,84,564,left,253,15:47:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1013,253,right,822,06:18:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,hook shot,NA,NA,96,226,left,509,11:31:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,NA,NA,3,796,336,right,2231,02:49:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1009,304,right,345,14:15:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,NA,NA,NA,1026,438,right,810,06:30:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1019,304,right,1712,11:28:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,tip shot,NA,2,1042,303,right,170,17:10:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,81,190,left,1738,11:02:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,103,303,left,1470,15:30:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,173,142,left,1518,14:42:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1033,239,right,166,17:14:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,993,392,right,1847,09:13:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,75,258,left,1932,07:48:00,First Round
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,151,430,left,1023,02:57:00,Sweet 16
Tar Heels,FALSE,FALSE,fieldgoal,NA,NA,NA,81,331,left,642,09:18:00,Quarterfinal 2
Tar Heels,TRUE,FALSE,fieldgoal,NA,NA,NA,278,140,left,801,06:39:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,165,540,left,654,09:06:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1055,431,right,1556,14:04:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,126,198,left,1842,09:18:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1037,363,right,2392,00:08:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,199,225,left,1978,07:02:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,821,157,right,991,03:29:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,821,163,right,641,09:19:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,223,322,left,1715,11:25:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,putback,2,1034,342,right,663,08:57:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,799,342,right,503,11:37:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,102,291,left,433,12:47:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,67,41,left,1916,08:04:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,846,397,right,169,17:11:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1057,269,right,1573,13:47:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,floating,2,101,190,left,855,05:45:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,990,360,right,1212,19:48:00,Semifinal 1
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1035,335,right,837,06:03:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,129,359,left,2362,00:38:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,980,283,right,1453,15:47:00,Semifinal 1
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,879,44,right,303,14:57:00,Second Round
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,1047,34,right,565,10:35:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1011,140,right,286,15:14:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,hook shot,NA,2,134,297,left,1199,00:01:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1030,263,right,126,17:54:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,79,276,left,2362,00:38:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1042,322,right,355,14:05:00,Second Round
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,192,229,left,667,08:53:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,333,368,left,518,11:22:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,92,267,left,1375,17:05:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,77,344,left,2228,02:52:00,First Round
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,901,425,right,818,06:22:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,295,147,left,1513,14:47:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,102,266,left,1591,13:29:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,872,102,right,1134,01:06:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1013,281,right,1561,13:59:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,102,267,left,1400,16:40:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1020,256,right,819,06:21:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,789,298,right,667,08:53:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,78,272,left,2002,06:38:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1071,363,right,196,16:44:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,856,482,right,1373,17:07:00,Semifinal 2
Tar Heels,TRUE,FALSE,fieldgoal,NA,NA,NA,839,149,right,659,09:01:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1045,259,right,1108,01:32:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,1042,233,right,1232,19:28:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,997,228,right,1862,08:58:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,98,273,left,1825,09:35:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,1064,462,right,2142,04:18:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,1009,345,right,1816,09:44:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,229,163,left,2347,00:53:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,98,142,left,76,18:44:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,77,273,left,1526,14:34:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,NA,NA,NA,244,82,left,1812,09:48:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,918,311,right,1098,01:42:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,383,281,left,1721,11:19:00,First Round
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,70,455,left,1589,13:31:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,112,315,left,727,07:53:00,Quarterfinal 4
Tar Heels,FALSE,TRUE,fieldgoal,layup,putback,2,87,335,left,2172,03:48:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1031,351,right,2239,02:41:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,933,164,right,1221,19:39:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,866,207,right,568,10:32:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,964,314,right,1901,08:19:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,81,320,left,2375,00:25:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,dunk,NA,2,103,246,left,777,07:03:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,370,329,left,2116,04:44:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,dunk,NA,2,123,236,left,1572,13:48:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,876,70,right,727,07:53:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,102,291,left,1691,11:49:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,163,353,left,16,19:44:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,84,307,left,1061,02:19:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,852,85,right,290,15:10:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,71,325,left,2098,05:02:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,924,543,right,381,13:39:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,78,317,left,1096,01:44:00,Quarterfinal 2
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,787,296,right,31,19:29:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,886,434,right,384,13:36:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,937,183,right,108,18:12:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1016,238,right,770,07:10:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,228,311,left,2049,05:51:00,NA
